id,sex,age,comorbidities,medication,condition,analysis_type,method_or_model,handcrafted_unit,level,balance
289,ALL,ALL,none,ALL,EC,fine_tune,labram,N/A,subject,balanced
290,ALL,ALL,none,ALL,EO,fine_tune,luna,N/A,subject,balanced
291,ALL,ALL,none,ALL,EC,fine_tune,luna,N/A,subject,balanced
292,ALL,ALL,none,ALL,EO,fine_tune,signaljepa,N/A,subject,balanced
293,ALL,ALL,none,ALL,EC,fine_tune,signaljepa,N/A,subject,balanced
294,ALL,ALL,none,ALL,EO,fine_tune,bendr,N/A,subject,balanced
295,ALL,ALL,none,ALL,EC,fine_tune,bendr,N/A,subject,balanced
296,ALL,ALL,ASD,ALL,N/A,dim_reduction,PCA,N/A,subject,balanced
297,ALL,ALL,ASD,ALL,N/A,dim_reduction,UMAP,N/A,subject,balanced
298,ALL,ALL,ASD,ALL,N/A,dim_reduction,t-SNE,N/A,subject,balanced
299,ALL,ALL,ASD,ALL,N/A,handcrafted,LogisticRegression,feature,subject,balanced
300,ALL,ALL,ASD,ALL,N/A,handcrafted,RandomForestClassifier,feature,subject,balanced
301,ALL,ALL,ASD,ALL,N/A,handcrafted,LogisticRegression,sensor,subject,balanced
302,ALL,ALL,ASD,ALL,N/A,handcrafted,RandomForestClassifier,sensor,subject,balanced
303,ALL,ALL,ASD,ALL,N/A,handcrafted,LogisticRegression,region,subject,balanced
304,ALL,ALL,ASD,ALL,N/A,handcrafted,RandomForestClassifier,region,subject,balanced
305,ALL,ALL,ASD,ALL,EO,embedding,cbramod,N/A,subject,balanced
306,ALL,ALL,ASD,ALL,EC,embedding,cbramod,N/A,subject,balanced
307,ALL,ALL,ASD,ALL,EO,embedding,reve,N/A,subject,balanced
308,ALL,ALL,ASD,ALL,EC,embedding,reve,N/A,subject,balanced
309,ALL,ALL,ASD,ALL,EO,embedding,biot,N/A,subject,balanced
310,ALL,ALL,ASD,ALL,EC,embedding,biot,N/A,subject,balanced
311,ALL,ALL,ASD,ALL,EO,embedding,labram,N/A,subject,balanced
312,ALL,ALL,ASD,ALL,EC,embedding,labram,N/A,subject,balanced
313,ALL,ALL,ASD,ALL,EO,embedding,luna,N/A,subject,balanced
314,ALL,ALL,ASD,ALL,EC,embedding,luna,N/A,subject,balanced
315,ALL,ALL,ASD,ALL,EO,embedding,signaljepa,N/A,subject,balanced
316,ALL,ALL,ASD,ALL,EC,embedding,signaljepa,N/A,subject,balanced
317,ALL,ALL,ASD,ALL,EO,embedding,bendr,N/A,subject,balanced
318,ALL,ALL,ASD,ALL,EC,embedding,bendr,N/A,subject,balanced
319,ALL,ALL,ASD,ALL,EO,fine_tune,cbramod,N/A,subject,balanced
320,ALL,ALL,ASD,ALL,EC,fine_tune,cbramod,N/A,subject,balanced
321,ALL,ALL,ASD,ALL,EO,fine_tune,reve,N/A,subject,balanced
322,ALL,ALL,ASD,ALL,EC,fine_tune,reve,N/A,subject,balanced
323,ALL,ALL,ASD,ALL,EO,fine_tune,biot,N/A,subject,balanced
324,ALL,ALL,ASD,ALL,EC,fine_tune,biot,N/A,subject,balanced
325,ALL,ALL,ASD,ALL,EO,fine_tune,labram,N/A,subject,balanced
326,ALL,ALL,ASD,ALL,EC,fine_tune,labram,N/A,subject,balanced
327,ALL,ALL,ASD,ALL,EO,fine_tune,luna,N/A,subject,balanced
328,ALL,ALL,ASD,ALL,EC,fine_tune,luna,N/A,subject,balanced
329,ALL,ALL,ASD,ALL,EO,fine_tune,signaljepa,N/A,subject,balanced
330,ALL,ALL,ASD,ALL,EC,fine_tune,signaljepa,N/A,subject,balanced
